GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS1314024520,2022-01-08 18:31:11.426982,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,TPR yard,L2230471,P,"39.9109131","-77.0557451",2022-01-08,15:50:00,obsr152998,S100383657,Historical,P62,EBIRD,"5.0",,,"1.0","0",,"1","1","0",,Perched in a tree near the Conewago Creek,
URN:CornellLabOfOrnithology:EBIRD:OBS1309021934,2022-01-02 16:15:50.246519,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,The Homewood Cemetery,L2595858,P,"40.4418739","-79.9053748",2022-01-02,11:30:00,obsr446407,S99964532,Traveling,P22,EBIRD,"45.0","1.207",,"1.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1312421501,2022-01-06 19:30:53.023403,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,Riverview Park,L2270560,H,"40.4824542","-80.0208628",2022-01-06,15:32:00,obsr1040646,S100250076,Traveling,P22,EBIRD,"67.0","2.378",,"2.0","1",,"1","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1314390287,2022-01-09 08:07:23.662679,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"Allegheny Cemetery, Pittsburgh US-PA (40.4735,-79.9498)",L17376129,P,"40.473521","-79.949835",2022-01-08,10:50:00,obsr2688478,S100408174,Incidental,P20,EBIRD,,,,"1.0","0",,"0","1","0",,,Spotter in Allegheny Cemetery
URN:CornellLabOfOrnithology:EBIRD:OBS1315655617,2022-01-10 19:57:42.354568,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,Schenley Park,L271279,H,"40.4353843","-79.9402845",2022-01-10,16:15:00,obsr1496323,S100514914,Traveling,P22,EBIRD,"42.0","2.881",,"1.0","1",,"1","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1320033790,2022-01-16 14:34:51.017151,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",F ,C1,F ,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,Frick Park,L190706,H,"40.4307","-79.9134",2022-01-16,10:45:00,obsr42729,S100864843,Traveling,P22,EBIRD,"105.0","2.253",,"1.0","1",,"0","1","0",,,"Carrying prey, flying in the direction of Duck Hollow"
URN:CornellLabOfOrnithology:EBIRD:OBS1324534472,2022-01-31 11:51:13.709246,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"3579 Masonic Way, Pittsburgh US-PA 40.51037, -80.01571",L17515098,P,"40.510371","-80.015709",2022-01-22,16:13:00,obsr1380553,S101229145,Stationary,P21,EBIRD,"10.0",,,"1.0","1",,"1","1","0",,,"I went with Merlin because of the relatively short tail length, white stripes on tail and white eyebrow I observed through binoculars. I could not get a better photo. It could be sharp-shinned. It was too small to even be a Cooper’s."
URN:CornellLabOfOrnithology:EBIRD:OBS1327187454,2022-01-25 18:39:55.337217,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"2",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"Schenley Park--Golf Course, Circuit Drive",L2744880,P,"40.4381316","-79.9404556",2022-01-25,17:10:00,obsr42729,S101449428,Traveling,P22,EBIRD,"40.0","0.805",,"1.0","1",,"0","1","0",,Note to self: 30 min walk to get to merlin zone where record begins,
URN:CornellLabOfOrnithology:EBIRD:OBS1323708928,2022-01-22 23:12:02.323231,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,Schenley Park - Golf Course,L10320587,P,"40.4376507","-79.9351091",2022-01-21,16:00:00,obsr973050,S101159597,Stationary,P21,EBIRD,"25.0",,,"2.0","0",G7751279,"1","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1322991928,2022-01-20 22:54:22.984719,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"Bob O'Connor Golf Course, Pittsburgh US-PA (40.4382,-79.9363)",L17494352,P,"40.43819","-79.936302",2022-01-20,17:10:00,obsr862635,S101105206,Stationary,P21,EBIRD,"5.0",,,"1.0","1",,"1","1","0",,,Continuing bird. Perched in top of dead pine down from Arnold Palmer Learning Center.
URN:CornellLabOfOrnithology:EBIRD:OBS1318417221,2022-01-14 17:04:29.517201,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"Bob O'Connor Golf Course, Pittsburgh US-PA 40.43833, -79.93472",L17430569,P,"40.438333","-79.934725",2022-01-14,17:03:00,obsr554421,S100732970,Incidental,P20,EBIRD,,,,"1.0","0",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1324548767,2022-01-31 12:09:28.865173,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"204 Cemetery Ln, Pittsburgh US-PA (40.5076,-80.0171)",L17515356,P,"40.507597","-80.017113",2022-01-22,16:26:00,obsr2618247,S101230363,Stationary,P21,EBIRD,"5.0",,,"2.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1307442283,2022-01-03 16:11:55.144968,"11731",species,avibase-F3DA111C,Merlin,Falco columbarius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,North Park--North Park Lake,L1130760,H,"40.5966189","-79.9981499",2022-01-01,08:14:00,obsr2564298,S99816173,Traveling,P22,EBIRD,"89.0","1.735",,"5.0","1",,"0","1","0",,,
