GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS1326327136,2022-09-26 18:53:06.806144,"8062",species,avibase-420850D6,Northern Goshawk,Accipiter gentilis,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Elk,US-PA-047,,"28.0",,,"East Branch Lake and Vicinity (Maple Ln, East Branch Dam, Swamp Creek and Whiteman Rds)",L2455107,P,"41.5762871","-78.5844405",2022-01-24,09:00:00,obsr432588,S101371486,Stationary,P21,EBIRD,"480.0",,,"1.0","1",,"1","1","1",,,"Large, mostly gray hawk, about the size of a red-shouldered, stalking feeders. Barred chest, beady red eyes, dark behind eye with light eyebrow, dark gray wings and back. Harassed by blue jays for a couple minutes before leaving. Poor photo attached."
URN:CornellLabOfOrnithology:EBIRD:OBS1308321544,2022-01-04 11:22:08.985425,"8062",species,avibase-420850D6,Northern Goshawk,Accipiter gentilis,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Luzerne,US-PA-079,,"28.0",,,Francis E. Walter Dam,L2093604,H,"41.1131688","-75.7244153",2022-01-01,15:13:00,obsr341100,S99898639,Traveling,P22,EBIRD,"22.0","2.543",,"1.0","1",,"0","1","1",,,"Observed a large,  gray accipiter perched on a dead tree in a boreal spruce bog.  Identified it as an adult  Northern goshawk based upon its robust chunky body close in size and stature to a red-tailed hawk; its dark cap and cheek bordered by a bright white eyebrows unlike any other accipiter or buteo, as well having a dark gray back in contrast to its whitish- gray , finely barred chest unlike the rufous breast and reddish shoulder markings of RSHA or the undersides of adult COHA.  along with its long dark gray tail with light gray bands unlike brick red tail of RTHA or distinct black bands of RSHA and COHA. Could not clearly see red eyes due to overcast conditions. The hawk became startled to movement when I backed up  my car and reached back to grab my camera as it flew into a stand of tall red spruce trees."
URN:CornellLabOfOrnithology:EBIRD:OBS1344566622,2022-09-26 18:53:06.806144,"8062",species,avibase-420850D6,Northern Goshawk,Accipiter gentilis,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Elk,US-PA-047,,"28.0",,,"East Branch Lake and Vicinity (Maple Ln, East Branch Dam, Swamp Creek and Whiteman Rds)",L2455107,P,"41.5762871","-78.5844405",2022-02-17,07:30:00,obsr432588,S102839703,Stationary,P21,EBIRD,"240.0",,,"1.0","1",,"0","1","1",,,"Continuing bird hanging around feeders, making quick dash at the Blue Jay flock. Overall gray color with red eye, dark eye stripe and light eyebrow."
URN:CornellLabOfOrnithology:EBIRD:OBS1338831328,2022-09-26 18:53:06.806144,"8062",species,avibase-420850D6,Northern Goshawk,Accipiter gentilis,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Elk,US-PA-047,,"28.0",,,"East Branch Lake and Vicinity (Maple Ln, East Branch Dam, Swamp Creek and Whiteman Rds)",L2455107,P,"41.5762871","-78.5844405",2022-02-10,07:00:00,obsr432588,S102382619,Stationary,P21,EBIRD,"270.0",,,"1.0","1",,"0","1","1",,,"Likely a continuing bird from late-January. Large, gray accipiter, barred chest, red eye, black eyestripe with light eyebrow."
URN:CornellLabOfOrnithology:EBIRD:OBS1561412981,2022-11-15 10:31:25.408046,"8071",issf,avibase-AE5956D5,Northern Goshawk,Accipiter gentilis,Northern Goshawk (American),Accipiter gentilis atricapillus/laingi,,"1",,,,,United States,US,Pennsylvania,US-PA,Erie,US-PA-049,,"13.0",,,"Glenwood Hills, Erie, PA, USA",L21528698,P,"42.0988156","-80.0718495",2022-09-30,10:00:00,obsr3462369,S122387341,Stationary,P21,EBIRD,"480.0",,,"1.0","1",,"0","1","1",,,"Single observation; backyard garden"
URN:CornellLabOfOrnithology:EBIRD:OBS1538781041,2022-10-20 22:08:05.207724,"8062",species,avibase-420850D6,Northern Goshawk,Accipiter gentilis,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Bedford,US-PA-009,US-PA_3912,"28.0",,,Allegheny Front Hawk Watch,L101,H,"40.081417","-78.727837",2022-10-12,09:46:00,obsr692233,S120548242,Stationary,P21,EBIRD,"160.0",,,"1.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1546927688,2022-10-27 18:39:17.886218,"8062",species,avibase-420850D6,Northern Goshawk,Accipiter gentilis,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Bedford,US-PA-009,US-PA_3912,"28.0",,,Allegheny Front Hawk Watch,L101,H,"40.081417","-78.727837",2022-10-23,12:37:00,obsr557191,S121205096,Stationary,P21,EBIRD,"370.0",,,"31.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1556994497,2022-11-08 09:11:39.135626,"8062",species,avibase-420850D6,Northern Goshawk,Accipiter gentilis,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Bedford,US-PA-009,US-PA_3912,"28.0",,,Allegheny Front Hawk Watch,L101,H,"40.081417","-78.727837",2022-10-23,09:30:00,obsr1546735,S122036090,Stationary,P21,EBIRD_PA,"375.0",,,"17.0","1",,"1","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1543262183,2022-10-23 23:08:15.399732,"8062",species,avibase-420850D6,Northern Goshawk,Accipiter gentilis,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Lehigh,US-PA-077,US-PA_1157,"28.0",,,Bake Oven Knob,L110,H,"40.748333","-75.733582",2022-10-18,09:32:00,obsr673869,S120916827,Traveling,P22,EBIRD,"410.0","1.287",,"1.0","1",,"0","1","1",,Winds WSW about 10-15mph.  Clear with great visibility but bright blue skies during the morning/midday with clouds rolling in the afternoon.  Low of 38F and high of 50F.  First morning following a cold front. Great conditions minus winds giving a slight headwind for raptors. 385 minutes spent at hawk watch north lookout. Counts are likely low for sharpie and coopers. A lot of birds were eye level or below tree line with the occasional birds high and in the blue.,"Juvenile at 1437. I spotted this large bulky accipter flying low and out of sight behind pine tree. Immediately alerted others. Got 2 of the 3 birders on it. Visual from above. Noted broad and distinct supercillium. Long thick tail with more of a rounded wedge shape and thick tail bands. Broad winged. From what I could see of flanks when bird flapped intermittently, appeared heavily barred."
URN:CornellLabOfOrnithology:EBIRD:OBS1549965881,2022-10-28 21:44:39.873818,"8062",species,avibase-420850D6,Northern Goshawk,Accipiter gentilis,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Lehigh,US-PA-077,US-PA_1157,"28.0",,,Bake Oven Knob,L110,H,"40.748333","-75.733582",2022-10-28,09:07:00,obsr673869,S121461200,Traveling,P22,EBIRD,"232.0","0.909",,"1.0","1",,"1","1","1",,"Winds ENE 5-10mph.  Mostly clear skies with some cloud coverage.  45-55F.  Scott Keys was there when I arrived and had two Goldens and a Sharpie prior to my arrival.  Later joined by Win Shafer.  Lots of geese moving and decent number of finches, but raptors were spaced out quite a bit.","Bulky 6 fingered accipter. Broad tail and wings. Barrel chested, big head not projecting out much beyond wing tips.  1108am"
