GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS1322359284,2022-01-20 12:35:23.921232,"7873",species,avibase-A091D50A,Northern Harrier,Circus hudsonius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,Freedom Twp. Grasslands,L878386,H,"39.7825201","-77.2974658",2022-01-19,16:36:00,obsr359172,S101054500,Traveling,P22,EBIRD,"17.0","5.46",,"1.0","1",,"0","1","0",,,Adult female.
URN:CornellLabOfOrnithology:EBIRD:OBS1310855957,2022-01-04 16:03:24.282667,"7873",species,avibase-A091D50A,Northern Harrier,Circus hudsonius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,Sachs Covered Bridge,L5101524,H,"39.7973346","-77.2763783",2022-01-04,15:44:00,obsr1060413,S100116917,Traveling,P22,EBIRD,"17.0","5.876",,"1.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1317726624,2022-01-13 17:28:04.106289,"7873",species,avibase-A091D50A,Northern Harrier,Circus hudsonius,,,,"7",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,Gettysburg NMP--United States Ave.,L6505240,H,"39.8018826","-77.2429445",2022-01-13,15:20:00,obsr558418,S100677215,Traveling,P22,EBIRD,"126.0","2.812",,"2.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1331250191,2022-01-31 11:16:32.132374,"7873",species,avibase-A091D50A,Northern Harrier,Circus hudsonius,,,,"5",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,Gettysburg Museum,L17607285,P,"39.809715","-77.227388",2022-01-31,11:12:00,obsr1315037,S101783158,Stationary,P21,EBIRD,"60.0",,,"2.0","1",,"0","1","0",,,Gettysburg NPM
URN:CornellLabOfOrnithology:EBIRD:OBS1317740930,2022-01-13 17:27:18.475761,"7873",species,avibase-A091D50A,Northern Harrier,Circus hudsonius,,,,"7",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,Gettysburg NMP--United States Ave.,L6505240,H,"39.8018826","-77.2429445",2022-01-13,15:20:00,obsr502435,S100677157,Traveling,P22,EBIRD,"78.0","1.558",,"2.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1317708685,2022-01-13 16:38:30.372289,"7873",species,avibase-A091D50A,Northern Harrier,Circus hudsonius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,Gettysburg NMP--Warfield Ridge Tower/SW Confederate Ave.,L5498417,H,"39.7998029","-77.2560404",2022-01-13,16:38:00,obsr676879,S100673973,Incidental,P20,EBIRD,,,,"1.0","0",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1365917569,2022-03-14 19:37:16.149061,"7873",species,avibase-A091D50A,Northern Harrier,Circus hudsonius,,,,"2",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,Bigham Rd.,L5876263,H,"39.7893373","-77.2962905",2022-01-02,13:50:00,obsr88666,S104843400,Traveling,P22,EBIRD,"14.0","1.55",,"1.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1313983034,2022-01-08 17:34:45.784507,"7873",species,avibase-A091D50A,Northern Harrier,Circus hudsonius,,,,"4",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,Gettysburg NMP--United States Ave.,L6505240,H,"39.8018826","-77.2429445",2022-01-08,16:55:00,obsr160352,S100380012,Traveling,P22,EBIRD,"38.0","0.499",,"1.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1322194028,2022-01-19 16:08:35.739533,"7873",species,avibase-A091D50A,Northern Harrier,Circus hudsonius,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,Gettysburg NMP--United States Ave.,L6505240,H,"39.8018826","-77.2429445",2022-01-19,09:04:00,obsr1518973,S101039381,Traveling,P22,EBIRD,"205.0","22.07",,"1.0","1",,"0","1","0",,,Adult male being chased by ravens
URN:CornellLabOfOrnithology:EBIRD:OBS1307883602,2022-02-02 19:00:20.768294,"7873",species,avibase-A091D50A,Northern Harrier,Circus hudsonius,,,,"2",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,Bigham Rd.,L5876263,H,"39.7893373","-77.2962905",2022-01-01,15:39:00,obsr514319,S99862770,Traveling,P22,EBIRD,"19.0","2.366",,"2.0","1",G7624734,"1","1","0",,,
