GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS1322269207,2022-01-19 14:58:04.43466,"11781",species,avibase-47E58408,Peregrine Falcon,Falco peregrinus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Adams,US-PA-001,US-PA_1148,"29.0",,,"Gettysburg National Military Park, Cumberland US-PA (39.8054,-77.2481)",L6771046,P,"39.805431","-77.24808",2022-01-19,14:56:00,obsr43068,S101046558,Stationary,P21,EBIRD,"1.0",,,"1.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1318395974,2022-01-15 20:16:46.33994,"11781",species,avibase-47E58408,Peregrine Falcon,Falco peregrinus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,Brunot Island--Doerr St.,L1078564,H,"40.4691841","-80.0419664",2022-01-14,15:41:00,obsr95598,S100729515,Traveling,P22,EBIRD,"38.0","0.692",,"2.0","1",G7713089,"1","1","0",,"Peregrine jousting with the Raven above the State Correctional Institution roof top.  Both birds flying repeatedly at each other but not quite making contact as they met.  Hard to tell who the aggressor was, as they both charged at each other and neither one backed off, before they disappeared over the prison roof out of view.  Saw both of them perched about 15 minutes later on different parts of the prison rooftops.  Perhaps one had a meal they were fighting over.  Or, maybe it was a territorial dispute.",Jousting with the Raven above the State Correctional Institution roof tops.
URN:CornellLabOfOrnithology:EBIRD:OBS1312409870,2022-01-06 17:57:52.360617,"11781",species,avibase-47E58408,Peregrine Falcon,Falco peregrinus,,,,"2",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,Schenley Plaza,L3176256,H,"40.4427413","-79.9522519",2022-01-06,12:16:00,obsr1133249,S100248879,Stationary,P21,EBIRD,"34.0",,,"4.0","1",G7671623,"0","1","0",,,"A Cooper’s Hawk made the mistake of flying too high next to the Cathedral of Learning, and the female Peregrine made a swooping attack, driving it almost to the ground.  A little later, we saw the male flying with the female."
URN:CornellLabOfOrnithology:EBIRD:OBS1327047604,2022-01-25 15:45:24.099516,"11781",species,avibase-47E58408,Peregrine Falcon,Falco peregrinus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"North Oakland, 157 Cathedral of Learning",L2379848,P,"40.44377","-79.95237",2022-01-24,13:15:00,obsr42729,S101437151,Stationary,P21,EBIRD,"15.0",,,"1.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1333310503,2022-02-03 04:45:35.529223,"11781",species,avibase-47E58408,Peregrine Falcon,Falco peregrinus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,The Motherland,L17630628,P,"40.386926","-79.927576",2022-01-28,11:45:00,obsr2937900,S101936860,Incidental,P20,EBIRD,,,,"1.0","0",,"0","1","0",,,sitting in a tree
URN:CornellLabOfOrnithology:EBIRD:OBS1313852134,2022-01-08 18:10:42.02396,"11781",species,avibase-47E58408,Peregrine Falcon,Falco peregrinus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,McKees Rocks Bridge,L2657487,H,"40.4772553","-80.0476847",2022-01-08,12:39:00,obsr670405,S100367904,Traveling,P22,EBIRD_PA,"43.0","0.913",,"2.0","1",G7683165,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1327049872,2022-01-25 15:40:26.836036,"11781",species,avibase-47E58408,Peregrine Falcon,Falco peregrinus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,Schenley Park,L271279,H,"40.4353843","-79.9402845",2022-01-22,11:30:00,obsr42729,S101436909,Traveling,P22,EBIRD,"90.0","3.219",,"1.0","1",,"0","1","0",,,On nest rail
URN:CornellLabOfOrnithology:EBIRD:OBS1319951067,2022-01-16 13:18:30.948242,"11781",species,avibase-47E58408,Peregrine Falcon,Falco peregrinus,,,,"2",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"100 North Bellefield Avenue, Pittsburgh, Pennsylvania, US (40.447, -79.952)",L7445606,P,"40.4468933","-79.9518478",2022-01-07,14:00:00,obsr42729,S100857315,Traveling,P22,EBIRD,"45.0","1.609",,"1.0","1",,"0","1","0",,,
URN:CornellLabOfOrnithology:EBIRD:OBS1329780008,2022-01-29 15:22:01.030407,"11781",species,avibase-47E58408,Peregrine Falcon,Falco peregrinus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,McKees Rocks Bridge,L13544151,P,"40.47802","-80.047097",2022-01-28,14:10:00,obsr314052,S101664321,Traveling,P22,EBIRD,"30.0","0.805",,"2.0","1",G7794539,"0","1","0",,One sitting on the swing.,On the swing
URN:CornellLabOfOrnithology:EBIRD:OBS1318897964,2022-01-15 16:09:32.450043,"11781",species,avibase-47E58408,Peregrine Falcon,Falco peregrinus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,Tarentum Bridge Park,L2640014,H,"40.5983052","-79.7562039",2022-01-15,10:58:00,obsr664927,S100768858,Stationary,P21,EBIRD,"11.0",,,"1.0","1",,"1","1","0",,,
