GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS1331717740,2022-02-27 19:30:05.326837,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"Ferguson Rd, Imperial US-PA (40.4975,-80.3205)",L17613482,P,"40.497522","-80.32051",2022-01-31,10:59:00,obsr862635,S101819438,Traveling,P22,EBIRD,"171.0","4.748",,"1.0","1",,"1","1","1",,,"County FOY. Great views as it landed in old snag while we were watching AMKE. Then relocated and then took off and soared, circling directly over us against brilliant blue sky - BEAUTIFUL!"
URN:CornellLabOfOrnithology:EBIRD:OBS1331354075,2022-04-07 08:39:59.186565,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,Ferguson Rd. Area Farmland (Allegheny Co.),L17609078,H,"40.4962437","-80.3184823",2022-01-31,13:19:00,obsr1496323,S101792527,Stationary,P21,EBIRD,"23.0",,,"1.0","1",,"1","1","1",,,Continuing
URN:CornellLabOfOrnithology:EBIRD:OBS1330620208,2022-01-30 20:17:56.382893,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,217 ferguson clinton,L17598681,P,"40.495708","-80.3184731",2022-01-30,11:05:00,obsr758639,S101734504,Stationary,P21,EBIRD_PA,"5.0",,,"2.0","1",,"0","1","1",,,"initially spotted in tree tops right off of feguson, stopped for snack at janoskis and then relocated--20 minutes later, great looks of it cruising over in the fields across route 30 from ferguson."
URN:CornellLabOfOrnithology:EBIRD:OBS1331484112,2022-02-01 20:42:16.817502,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"231 Ferguson Road, Clinton, Pennsylvania, US (40.498, -80.323)",L17611019,P,"40.4984722","-80.3231411",2022-01-31,16:34:00,obsr160067,S101803806,Stationary,P21,EBIRD,"2.0",,,"1.0","1",,"0","1","1",,,continuing light morph
URN:CornellLabOfOrnithology:EBIRD:OBS1329622934,2022-01-29 15:46:57.022818,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"375–399 Ferguson Rd, Imperial US-PA (40.4952,-80.3189)",L10388487,P,"40.495189","-80.318892",2022-01-29,12:05:00,obsr277524,S101649472,Stationary,P21,EBIRD,"15.0",,,"1.0","1",,"0","1","1",,,Light morph at the dogleg in the road.
URN:CornellLabOfOrnithology:EBIRD:OBS1328951831,2022-01-28 20:26:44.60968,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"201 Ferguson Road, Imperial, Pennsylvania, US (40.499, -80.324)",L17573029,P,"40.4987969","-80.3242587",2022-01-28,13:36:00,obsr160067,S101591455,Stationary,P21,EBIRD,"5.0",,,"1.0","1",,"0","1","1",,,light morph
URN:CornellLabOfOrnithology:EBIRD:OBS1330552365,2022-02-01 10:50:33.374682,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"375–399 Ferguson Rd, Imperial US-PA 40.49517, -80.31889",L17597824,P,"40.495168","-80.318894",2022-01-30,14:08:00,obsr1795075,S101729947,Stationary,P21,EBIRD,"25.0",,,"1.0","0",,"1","1","1",,,There is a row of trees just off the turn watch it move back and forth then come down to the snow
URN:CornellLabOfOrnithology:EBIRD:OBS1330405354,2022-01-31 07:49:37.425284,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"245 Ferguson Road, Imperial, Pennsylvania, US (40.497, -80.322)",L17594804,P,"40.4973889","-80.3221735",2022-01-30,09:58:00,obsr935821,S101714100,Traveling,P22,EBIRD,"72.0","1.835",,"1.0","1",,"1","1","1",,,"In treetops to the east of Ferguson road. Photos, lifer!"
URN:CornellLabOfOrnithology:EBIRD:OBS1330523502,2022-01-30 20:17:31.483234,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"217 Ferguson Rd, Clinton US-PA 40.49884, -80.32366",L17596833,P,"40.498837","-80.323657",2022-01-30,12:58:00,obsr670405,S101725072,Traveling,P22,EBIRD_PA,"11.0","0.74",,"2.0","1",G7800199,"1","1","1",,,"Light morph (40.4962668, -80.3248848)"
URN:CornellLabOfOrnithology:EBIRD:OBS1330969585,2022-02-01 10:50:33.374682,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"212–228 Ferguson Rd, Clinton US-PA 40.49802, -80.32203",L17598919,P,"40.49802","-80.322033",2022-01-30,15:03:00,obsr2322460,S101735175,Stationary,P21,EBIRD,"8.0",,,"1.0","1",,"1","1","1",,,"Seen perched in tree line that is parallel to route 30 and intersects Ferguson Road right at the bend. Adding to checklist after the fact based on comparing my pics with those from Mark Vaas and Joe Papp earlier in the day…along with ID help from the Facebook group “raptor ID”. Judged to be about the size of a red tailed hawk….had its back to me the entire time but showed a dark tail, grayish back and lighter grayish head."
URN:CornellLabOfOrnithology:EBIRD:OBS1329574389,2022-01-29 15:46:57.022818,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"201 Ferguson Road, Imperial, Pennsylvania, US (40.499, -80.324)",L17573029,P,"40.4987969","-80.3242587",2022-01-29,11:02:00,obsr160067,S101643804,Stationary,P21,EBIRD,"5.0",,,"1.0","1",,"0","1","1",,,continuing light morph
URN:CornellLabOfOrnithology:EBIRD:OBS1330448866,2022-01-30 20:17:31.483234,"8253",species,avibase-90B13ACF,Rough-legged Hawk,Buteo lagopus,,,,"1",,,,,United States,US,Pennsylvania,US-PA,Allegheny,US-PA-003,,"28.0",,,"284-304 Ferguson Road, Clinton, Pennsylvania, US (40.496, -80.319)",L17595628,P,"40.4955945","-80.3188496",2022-01-30,11:47:00,obsr160067,S101718813,Stationary,P21,EBIRD,"3.0",,,"1.0","1",,"1","1","1",,,continuing light morph
